ioc_type,ioc_value,malware_family,threat_actor,category,confidence,use_mode,tags,description,first_seen,source
TELEGRAM_BOT,@joemmBot,Agent Tesla / Styx Stealer,Mack_Sant (Nigeria) / Sty1x (Turkey),Known Malicious Bot,High,Exfiltration,agent-tesla;styx-stealer;cross-campaign;exposed-token,Agent Tesla Telegram exfiltration bot - also received Styx Stealer reports - used by threat actor Mack_Sant aka Fucos - led to attribution of two operators,2024,Check Point Research
TELEGRAM_BOT,@kralboting_bot,Styx Stealer,Sty1x / styxencode (Turkey),Known Malicious Bot,High,Exfiltration,styx-stealer;turkey-based;phemedrone-fork;crypto-wallet,Styx Stealer Telegram C2 bot - operated via cobrasupports account - led to exposure of actor Sty1x location via leaked OPSEC data,2024,Check Point Research
TELEGRAM_BOT,@botkanalchik_bot,PupkinStealer,Ardent (Russian-speaking),Known Malicious Bot,High,Exfiltration,pupkinstealer;pumpkinstealer;russian;bot-id-8013735771,PupkinStealer data exfiltration bot - bot ID 8013735771 - Russian-language bot name - developer alias Ardent,2025-04,Picus Security
TELEGRAM_BOT,@haixuancau_bot,AccountDumpling Phishing,PHẠM TÀI TÂN (Vietnam),Known Malicious Bot,High,Exfiltration,accountdumpling;phishing;facebook;vietnamese;display-name-VT張太海宣VT;~2900-victims,AccountDumpling Facebook phishing C2 bot (Bot-1) - display name VT張太海宣VT - approx 2900 victim records,2026-04,Guardio Labs
TELEGRAM_BOT,@globalglobalglobalbot_bot,AccountDumpling Phishing,PHẠM TÀI TÂN (Vietnam),Known Malicious Bot,High,Exfiltration,accountdumpling;phishing;facebook;vietnamese;unicode-fraktur;~12000-victims;rotated,AccountDumpling Facebook phishing C2 bot (Bot-2) - ROTATED/REVOKED - Unicode Fraktur display name - ~12000 victims,2026-04,Guardio Labs
TELEGRAM_BOT,@globalglobalglobalbot,AccountDumpling Phishing,PHẠM TÀI TÂN (Vietnam),Known Malicious Bot,High,Exfiltration,accountdumpling;phishing;facebook;vietnamese;replacement-bot;~11000-victims,AccountDumpling replacement C2 bot (Bot-3) - replaced revoked Bot-2 - ~11000 victim records,2026-04,Guardio Labs
TELEGRAM_BOT,@tichxanhglobal_bot,AccountDumpling Phishing,PHẠM TÀI TÂN (Vietnam),Known Malicious Bot,High,Exfiltration,accountdumpling;phishing;facebook;vietnamese;blue-badge-lure;~4000-victims,AccountDumpling Blue Badge flow C2 bot (Bot-4) - Tich Xanh means blue checkmark in Vietnamese - ~4000 victims,2026-04,Guardio Labs
TELEGRAM_HANDLE,@mansinblack,AccountDumpling Phishing,Unknown operator,Threat Actor Handle,High,Operator,accountdumpling;operator;channel-admin;facebook-phishing,Telegram operator handle with admin access to AccountDumpling credential exfiltration channels,2026-04,Guardio Labs
TELEGRAM_CHANNEL,ZeroTrace,Raven Stealer / Octalyn Stealer,ZeroTrace Team,Known Malicious Channel,High,C2;Distribution,raven-stealer;octalyn-stealer;malware-dev;builder-distribution;created-2025-04-30,ZeroTrace Team Telegram channel - malware development and distribution hub for Raven Stealer and Octalyn Stealer - created April 30 2025,2025-04-30,CYFIRMA
MALWARE_FAMILY,Agent Tesla,Agent Tesla,Multiple (Turkey/Nigeria-linked operators),Malware Family,High,Exfiltration,keylogger;infostealer;rat;telegram-exfil;77pct-of-telegram-c2-reports-2024,#1 Telegram C2-using malware family - 77.7% of all Telegram C2 malware reports in 2024 - exfiltrates via /sendDocument API call to upload credential files,2014,Cofense / Bitsight
MALWARE_FAMILY,SnakeKeylogger,SnakeKeylogger / 404 Keylogger,Multiple,Malware Family,High,Exfiltration,keylogger;infostealer;maas;telegram-exfil;vipkeylogger-variant,#2 Telegram C2 malware family by volume - .NET keylogger MaaS - exfiltrates credentials browser data screenshots via Telegram - VipKeylogger is a variant - sales site hxxps://snaketools.xyz,2020,Bitsight / Fortinet / Splunk
MALWARE_FAMILY,XWorm,XWorm (trojanized builder),Multiple,Malware Family,High,Bidirectional C2,rat;telegram-c2;sendDocument;sendMessage;getUpdates;command-execution,XWorm RAT - trojanized builder variant uses /sendDocument to exfiltrate passwords/cookies/IP info and /getUpdates for real-time operator commands via format /machine_id*command,2023,CloudSEK / NVISO
MALWARE_FAMILY,AsyncRAT,AsyncRAT,Multiple,Malware Family,Medium,Bidirectional C2,rat;telegram-c2;bidirectional;command-execution,AsyncRAT observed using Telegram as C2 channel - bidirectional command and control,2024,Bitsight
MALWARE_FAMILY,LummaC2,Lumma Stealer,Multiple,Malware Family,High,C2 Lookup,infostealer;maas;telegram-c2-lookup;rot13;rot15-encoded;infrastructure-resilience,Lumma Stealer (March 2025 update) retrieves actual C2 server address from Telegram channel name - channel name decoded via ROT13/ROT15 cipher - provides infrastructure resilience and evasion,2025-03,NVISO / McAfee
MALWARE_FAMILY,Raven Stealer,Raven Stealer,ZeroTrace Team,Malware Family,High,Exfiltration,infostealer;delphi;cpp;telegram-exfil;curl;sendDocument;zip-archive;RavenStealer.zip,Raven Stealer uses curl.exe to upload ZIP archive (username_RavenStealer.zip) via /sendDocument - targets browser passwords cookies payment info crypto wallets,2025-07,CYFIRMA
MALWARE_FAMILY,Octalyn Stealer,Octalyn Stealer,ZeroTrace Team,Malware Family,High,Exfiltration,infostealer;telegram-exfil;zerotrace;structural-similarity-raven,Octalyn Stealer - shares structural similarities with Raven Stealer - same ZeroTrace Team developer - Telegram-based exfiltration,2025,CYFIRMA / Silobreaker
MALWARE_FAMILY,DeerStealer,DeerStealer,Unknown (Russian-language artifacts),Malware Family,High,Operator Notification,infostealer;deception;persistence;curl-sendMessage;hijackloader;russian-text,DeerStealer uses curl.exe POST to Telegram /sendMessage to send operator notifications at key execution stages - text in Russian (e.g. username–старт = start),2025,NVISO
MALWARE_FAMILY,PupkinStealer,PupkinStealer / PumpkinStealer,Ardent (Russian-speaking),Malware Family,High,Exfiltration,infostealer;dotnet;stormkitty-derived;russian;telegram-only-c2;no-traditional-c2,PupkinStealer uses Telegram as sole C2/exfil channel - .NET infostealer based on StormKitty codebase - developer alias Ardent,2025-04,Picus Security
MALWARE_FAMILY,StormKitty,StormKitty,Open Source,Malware Family,High,Exfiltration,infostealer;open-source;dotnet;telegram-exfil;crypto-wallet;browser-creds;basis-for-pupkinstealer,Open-source .NET infostealer - steals browser credentials cookies crypto wallet data - exfiltrates via Telegram - basis for PupkinStealer and other derivatives,2020,DomainTools / Picus
MALWARE_FAMILY,Ghost Stealer / GhostLord,Ghost Stealer,GhostByte (developer alias),Malware Family,High,Exfiltration,infostealer;maas;telegram-c2;no-host-needed;~20usd-single-build;rebranded-2024,Ghost Stealer MaaS - ~$20 single build / $100 lifetime - advertises Telegram as C2 (TG sender + no host needed) - rebranded to GhostLord in 2024 - developer alias GhostByte,2023,OPTIX / Cybanetix
MALWARE_FAMILY,Styx Stealer,Styx Stealer,styxencode / Sty1x (Turkey),Malware Family,High,Exfiltration,infostealer;maas;phemedrone-fork;telegram-exfil;crypto-wallet;browser-data,Styx Stealer - Phemedrone Stealer fork - first appeared April 2024 - Telegram exfiltration - browser data crypto wallet credentials - operated by Turkey-based Sty1x,2024-04,Check Point Research
MALWARE_FAMILY,WSH RAT,WSH RAT,Multiple,Malware Family,Medium,Operator Notification,rat;telegram-notification;ip-geolocation;browser-useragent;payload-download-page,WSH RAT sends victim IP address geolocation city country and browser user-agent to Telegram C2 from the initial payload download page,2020,Cofense
MALWARE_FAMILY,IRRAT,IRRAT (Android),Iran-linked,Malware Family,High,C2,android;rat;iranian;farsi;telegram-c2-only;sms-theft;contact-theft,Iranian Android RAT - uses Telegram Bot API for C2 only (not exfil) - steals SMS contacts Google accounts call history - commands received in Farsi,2017,Unit 42 / Palo Alto Networks
MALWARE_FAMILY,TeleRAT,TeleRAT (Android),Iran-linked,Malware Family,High,C2;Exfiltration,android;rat;iranian;farsi;getUpdates-4.6sec-polling;telegram-c2-and-exfil,Iranian Android RAT - extends IRRAT - uses Telegram Bot API for both C2 and data exfiltration - polls getUpdates every 4.6 seconds for commands in Farsi,2018,Unit 42 / Palo Alto Networks
MALWARE_FAMILY,TAMECAT,TAMECAT PowerShell Backdoor,APT42 / SpearSpecter (Iran IRGC-IO),Malware Family,High,Bidirectional C2,apt42;iran;irgc-io;powershell-backdoor;telegram-c2;aes-encrypted-exfil;nation-state;espionage,APT42 PowerShell backdoor - uses Telegram bot as C2 - any incoming Telegram message treated as executable PowerShell - AES-encrypted data exfiltration - first recorded APT42 Telegram C2 use - targets defense/government/NGOs,2025,Google Mandiant / SecurityOnline
MALWARE_FAMILY,Golang Backdoor (Netskope),Trojan.Generic.37477095,Unknown (Russian artifacts),Malware Family,Medium,Bidirectional C2,golang;backdoor;telegram-c2;under-development;commands-via-bot,Russian-linked Golang backdoor using Telegram as C2 - fully functional despite appearing under development - C2 traffic indistinguishable from legitimate Telegram API use,2025-02,Netskope Threat Labs
MALWARE_FAMILY,VipKeylogger,VipKeylogger,SnakeKeylogger team,Malware Family,High,Exfiltration,keylogger;snakekeylogger-variant;telegram-exfil;concurrent-with-agent-tesla-decline,VipKeylogger - variant of SnakeKeylogger - same Telegram exfiltration mechanism - emerged concurrent with decline of Agent Tesla (OriginLogger) in 2024,2024,Bitsight
TECHNIQUE,curl.exe -X POST https://api.telegram.org/bot[TOKEN]/sendDocument,Multiple,Multiple,Detection Pattern,High,Exfiltration,curl;cmdline;detection;process-commandline;raven-stealer;deerstealer;endpoint-detection,Process command line pattern - curl.exe calling Telegram sendDocument - used by Raven Stealer and DeerStealer - detectable via EDR process command line monitoring,2024,NVISO
TECHNIQUE,powershell -Command Invoke-WebRequest https://api.telegram.org,Multiple,Multiple,Detection Pattern,High,Exfiltration,powershell;commandline;detection;endpoint-detection;tamecat;generic-exfil,PowerShell invoking Telegram API - common pattern across multiple malware families - monitor via Defender for Endpoint / Sentinel,2023,NVISO / Cofense
TECHNIQUE,wscript.exe -> api.telegram.org,Multiple,Multiple,Detection Pattern,High,Exfiltration,wscript;vbscript;telegram;detection;uncommon-process,WSH/VBScript process spawning connection to api.telegram.org - uncommon and suspicious in enterprise environments,2022,NVISO
NETWORK_INDICATOR,TCP/443 to 149.154.160.0/20,Multiple,Multiple,Network,High,C2 Traffic,tcp-443;https;telegram-subnet;network-block;egress-control,All Telegram bot API traffic over HTTPS port 443 to Telegram AS62014 subnets - block outbound in environments where Telegram is not required,Ongoing,Multiple
NETWORK_INDICATOR,TCP/443 to api.telegram.org,Multiple,Multiple,Network,High,C2 Traffic,tcp-443;https;api-domain;firewall-rule;dns-block,DNS/network block for api.telegram.org in environments where Telegram is not needed - prevents all Telegram-based malware C2 regardless of malware family,Ongoing,NVISO / Netskope
MITRE_TECHNIQUE,T1102.002 - Bidirectional Communication via Web Service,Multiple,Multiple,TTP,High,C2,mitre-attack;c2;web-service;telegram;living-off-trusted-platforms,MITRE ATT&CK: Command and Control via Bidirectional Communication using Web Service (Telegram Bot API),Ongoing,MITRE ATT&CK
MITRE_TECHNIQUE,T1071.001 - Application Layer Protocol: Web Protocols,Multiple,Multiple,TTP,High,C2,mitre-attack;c2;application-layer;https;port-443;telegram,MITRE ATT&CK: C2 via HTTPS to api.telegram.org - blends with normal web traffic - encrypted and difficult to inspect without TLS break-and-inspect,Ongoing,MITRE ATT&CK
MITRE_TECHNIQUE,T1567.002 - Exfiltration to Cloud Storage / Service,Multiple,Multiple,TTP,High,Exfiltration,mitre-attack;exfiltration;cloud-service;telegram;legitimate-service-abuse,MITRE ATT&CK: Exfiltration to a legitimate cloud communication service (Telegram) via Bot API,Ongoing,MITRE ATT&CK
MITRE_TECHNIQUE,T1059.001 - PowerShell,TAMECAT;LummaC2;Generic,APT42;Multiple,TTP,High,Execution,mitre-attack;powershell;telegram-c2-delivery;tamecat,MITRE ATT&CK: PowerShell used to invoke Telegram Bot API calls for C2 and exfiltration,2024,Google Mandiant
MITRE_TECHNIQUE,T1059.003 - Windows Command Shell,DeerStealer;Raven Stealer;Multiple,Multiple,TTP,High,Exfiltration,mitre-attack;cmd;curl;telegram-api;exfiltration-via-shell,MITRE ATT&CK: cmd.exe / curl.exe used to make Telegram Bot API calls for exfiltration,2024,NVISO
HUNT_QUERY,DeviceNetworkEvents | where RemoteUrl contains "api.telegram.org" | where InitiatingProcessFileName !in ("Telegram.exe" "chrome.exe" "firefox.exe" "msedge.exe"),Multiple,Multiple,KQL Detection,High,Detection,microsoft-sentinel;defender-xdr;kql;hunting-query;network-events,Microsoft Defender for Endpoint / Sentinel KQL: alert on any non-browser process making connections to api.telegram.org,2025,NVISO
HUNT_QUERY,DeviceProcessEvents | where ProcessCommandLine has "api.telegram.org" | where InitiatingProcessFileName in~ ("powershell.exe" "cmd.exe" "wscript.exe" "curl.exe"),Multiple,Multiple,KQL Detection,High,Detection,microsoft-sentinel;defender-xdr;kql;hunting-query;process-commandline,Microsoft Defender for Endpoint KQL: alert on command-line processes explicitly calling api.telegram.org - high-fidelity indicator of malicious Telegram C2,2025,NVISO
HUNT_QUERY,index=* (url="*api.telegram.org*" OR dest="api.telegram.org") NOT (process="Telegram.exe" OR process="chrome.exe" OR process="firefox.exe"),Multiple,Multiple,Splunk Detection,High,Detection,splunk;siem;hunting-query;network-events;telegram-c2-detection,Splunk SPL: detect non-browser connections to api.telegram.org across network and endpoint telemetry,2025,NVISO / Adapted
